value,domain_desc,unit_desc,short_desc,statisticcat_desc,survey_id
3.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,131315
2.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,131415
3.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,131515
5.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,131615
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151320
1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151420
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151319
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151519
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151619
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151318
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151418
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151518
                 (Z),TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151618
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151317
                 (Z),TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151417
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151517
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151617
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151316
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151416
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151516
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151616
1.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151315
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151415
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151515
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,151615
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161320
11.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161420
8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161319
21.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161519
5.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161619
0.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161318
3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161418
14.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161518
9.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161618
42.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161317
4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161417
6.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161517
17.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161617
2.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161316
2.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161416
4.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161516
4.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161616
12.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161315
6.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161415
1.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161515
4.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,161615
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171320
1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171420
3.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171319
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171519
1.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171619
3.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171318
6.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171418
2.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171518
2.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171618
0.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171317
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171417
2.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171517
0.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171617
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171316
2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171416
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171516
1.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171616
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171315
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171415
0.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171515
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,171615
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181320
1.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181420
2.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181319
3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181519
2.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181619
3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181318
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181418
1.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181518
23.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181618
5.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181317
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181417
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181517
1.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181617
0.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181316
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181416
1.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181516
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181616
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181315
7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181415
4.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181515
6.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,181615
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191320
16.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191420
0.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191319
5.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191519
5.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191619
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191318
0.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191418
8.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191518
8.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191618
8.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191317
7.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191417
2.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191517
12.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191617
13.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191316
18.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191416
0.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191516
8.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191616
4.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191315
2.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191415
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191515
0.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,191615
7.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201320
24,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201420
2.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201319
21.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201519
11.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201619
1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201318
1.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201418
6.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201518
26,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201618
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201317
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201417
14.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201517
3.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201617
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201316
2.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201416
14.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201516
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201616
1.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201315
0.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201415
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201515
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,201615
2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211320
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211420
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211319
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211519
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211619
0.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211318
0.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211418
1.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211518
1.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211618
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211317
1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211417
4.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211517
0.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211617
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211316
1.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211416
0.9,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211516
3.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211616
2.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211315
5.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211415
1.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211515
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,211615
0.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221320
0.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221420
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221319
0.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221519
3.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221619
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221318
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221418
0.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221518
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221618
0.1,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221317
0,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221417
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221517
0.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,221617
